       t = T/4        t = T/2          t = T 
              0              0              0
      0.0084157     0.00553149    -0.00295726
      0.0168307      0.0110631    -0.00591443
      0.0252441      0.0165941    -0.00887167
      0.0336552      0.0221236     -0.0118283
      0.0420634      0.0276505      -0.014784
      0.0504677      0.0331745     -0.0177386
      0.0588676      0.0386959     -0.0206904
      0.0672622      0.0442141     -0.0236413
      0.0756506      0.0497286     -0.0265892
      0.0840322      0.0552384     -0.0295346
      0.0924065      0.0607434     -0.0324781
       0.100773      0.0662431     -0.0354171
        0.10913      0.0717367     -0.0383539
       0.117477      0.0772239     -0.0412875
       0.125814       0.082704     -0.0442167
       0.134139      0.0881768     -0.0471417
       0.142452      0.0936418     -0.0500628
       0.150753      0.0990993     -0.0529804
        0.15904       0.104547     -0.0558934
       0.167314       0.109986     -0.0588008
       0.175572       0.115414     -0.0617025
       0.183814       0.120832     -0.0645989
       0.192039        0.12624     -0.0674903
       0.200248       0.131637     -0.0703754
       0.208439       0.137022     -0.0732537
       0.216612       0.142395     -0.0761254
       0.224765       0.147754     -0.0789909
       0.232898         0.1531     -0.0818481
        0.24101       0.158433     -0.0846985
       0.249101       0.163751     -0.0875424
       0.257169       0.169055     -0.0903787
       0.265215       0.174344     -0.0932071
       0.273237       0.179616     -0.0960271
       0.281235       0.184874     -0.0988385
       0.289207       0.190114      -0.101641
       0.297154       0.195338      -0.104433
       0.305074       0.200545      -0.107216
       0.312967       0.205733       -0.10999
       0.320831       0.210904      -0.112754
       0.328668       0.216055      -0.115508
       0.336475       0.221187      -0.118254
       0.344252       0.226299      -0.120986
       0.351998       0.231391      -0.123709
       0.359712       0.236462      -0.126419
       0.367395       0.241512      -0.129119
       0.375045       0.246541      -0.131806
       0.382661       0.251548      -0.134482
       0.390243       0.256532      -0.137147
        0.39779       0.261494        -0.1398
       0.405302       0.266432       -0.14244
       0.412777       0.271347      -0.145067
       0.420217       0.276239      -0.147681
       0.427618       0.281104      -0.150283
       0.434981       0.285945       -0.15287
       0.442305        0.29076      -0.155444
        0.44959       0.295549      -0.158004
       0.456834       0.300311      -0.160551
       0.464038       0.305046      -0.163082
       0.471201       0.309755      -0.165599
       0.478321       0.314436      -0.168101
       0.485398       0.319089      -0.170588
       0.492432       0.323713      -0.173059
       0.499423       0.328309      -0.175515
       0.506368       0.332876      -0.177956
