1 1
0 1382.3 3.13807e-14
1 1382.3 3.13807e-14
2 1382.3 2.58754e-13
3 1382.3 -1.95993e-13
4 1382.3 -1.95993e-13
5 1382.3 7.13502e-13
6 1382.3 -1.95993e-13
7 1382.3 -1.95993e-13
8 1382.3 -1.95993e-13
9 1382.3 -1.95993e-13
10 1382.3 -1.95993e-13
11 1382.3 1.623e-12
12 1382.3 -1.95993e-13
13 1382.3 -1.95993e-13
14 1382.3 -1.95993e-13
15 1382.3 -1.95993e-13
16 1382.3 -1.95993e-13
17 1382.3 -1.95993e-13
18 1382.3 -1.95993e-13
19 1382.3 -1.95993e-13
20 1382.3 -1.95993e-13
21 1382.3 -1.95993e-13
22 1382.3 -1.95993e-13
23 1382.3 3.44199e-12
24 1382.3 -1.95993e-13
25 1382.3 -1.95993e-13
26 1382.3 -1.95993e-13
27 1382.3 -1.95993e-13
28 1382.3 -1.95993e-13
29 1382.3 -1.95993e-13
30 1382.3 -1.95993e-13
31 1382.3 -1.95993e-13
32 1382.3 -1.95993e-13
33 1382.3 -1.95993e-13
34 1382.3 -1.95993e-13
35 1382.3 -1.95993e-13
36 1382.3 -1.95993e-13
37 1382.3 -1.95993e-13
38 1382.3 -1.95993e-13
39 1382.3 -1.95993e-13
40 1382.3 -1.95993e-13
41 1382.3 -1.95993e-13
42 1382.3 -1.95993e-13
43 1382.3 -1.95993e-13
44 1382.3 -1.95993e-13
45 1382.3 -1.95993e-13
46 1382.3 -1.95993e-13
47 1382.3 7.07996e-12
48 1382.3 -1.95993e-13
49 1382.3 -1.95993e-13
0.1 10
0 1382.3 2.05979e-05
0.1 1382.3 2.05979e-05
0.2 1382.3 0.000123587
0.3 1382.3 -8.23915e-05
0.4 1382.3 -8.23915e-05
0.5 1382.3 0.000329566
0.6 1382.3 0.000329566
0.7 1382.3 0.000329566
0.8 1382.3 0.000329566
0.9 1382.3 0.000329566
1 1382.3 0.000329566
1.1 1382.3 0.000329566
1.2 1382.3 0.000329566
1.3 1382.3 0.000329566
1.4 1382.3 0.000329566
1.5 1382.3 0.000329566
1.6 1382.3 0.000329566
1.7 1382.3 0.000329566
1.8 1382.3 0.000329566
1.9 1382.3 -0.00131826
2 1382.3 -0.00131826
2.1 1382.3 -0.00131826
2.2 1382.3 -0.00131826
2.3 1382.3 -0.00131826
2.4 1382.3 -0.00131826
2.5 1382.3 -0.00131826
2.6 1382.3 -0.00131826
2.7 1382.3 -0.00131826
2.8 1382.3 -0.00131826
2.9 1382.3 -0.00131826
3 1382.3 -0.00131826
3.1 1382.3 -0.00131826
3.2 1382.3 -0.00131826
3.3 1382.3 -0.00131826
3.4 1382.3 -0.00131826
3.5 1382.3 -0.00131826
3.6 1382.3 -0.00131826
3.7 1382.3 -0.00131826
3.8 1382.3 -0.00131826
3.9 1382.3 -0.00131826
4 1382.3 0.00197739
4.1 1382.3 -0.00131826
4.2 1382.3 -0.00131826
4.3 1382.3 -0.00131826
4.4 1382.3 -0.00131826
4.5 1382.3 -0.00131826
4.6 1382.3 -0.00131826
4.7 1382.29 -0.00131826
4.8 1382.29 -0.00131826
4.9 1382.29 -0.00131826
0.01 100
0 1382.3 95.1056
0.01 427.155 -36.3271
0.02 -1118.3 -117.557
0.03 -1118.31 -36.3272
0.04 427.153 95.1053
0.05 1382.3 95.1059
0.06 427.164 -36.3261
0.07 -1118.3 -117.557
0.08 -1118.32 -36.3286
0.09 427.134 95.1043
0.1 1382.3 95.1068
0.11 427.183 -36.3245
0.12 -1118.29 -117.557
0.13 -1118.33 -36.3299
0.14 427.128 95.105
0.15 1382.3 95.1067
0.16 427.161 -36.3272
0.17 -1118.31 -117.558
0.18 -1118.3 -36.3258
0.19 427.177 95.1076
0.2 1382.3 95.1042
0.21 427.112 -36.3313
0.22 -1118.34 -117.558
0.23 -1118.27 -36.3216
0.24 427.226 95.1081
0.25 1382.3 95.1024
0.26 427.118 -36.3292
0.27 -1118.32 -117.556
0.28 -1118.3 -36.3273
0.29 427.139 95.1035
0.3 1382.3 95.107
0.31 427.204 -36.3218
0.32 -1118.26 -117.556
0.33 -1118.36 -36.3347
0.34 427.053 95.099
0.35 1382.3 95.1115
0.36 427.291 -36.3145
0.37 -1118.21 -117.556
0.38 -1118.41 -36.3421
0.39 426.966 95.0944
0.4 1382.3 95.1161
0.41 427.378 -36.3071
0.42 -1118.16 -117.556
0.43 -1118.46 -36.3495
0.44 426.879 95.0899
0.45 1382.3 95.1206
0.46 427.464 -36.2997
0.47 -1118.1 -117.556
0.48 -1118.52 -36.3568
0.49 426.793 95.0853
0.001 1000
0 1382.3 982.287
0.001 259.017 -614.163
0.002 -1285.23 -1212.45
0.003 -740.674 159.78
0.004 1007.65 1272.33
0.005 1118.3 317.042
0.006 -588.555 -1153.52
0.007 -1338.87 -749.337
0.008 86.7961 872.694
0.009 1371.4 1076.39
0.01 427.153 -469.304
0.011 -1211.32 -1252.27
0.012 -881.11 0.00196695
0.013 881.113 1252.27
0.014 1211.32 469.301
0.015 -427.157 -1076.39
0.016 -1371.4 -872.693
0.017 -86.7936 749.338
0.018 1338.87 1153.52
0.019 588.553 -317.044
0.02 -1118.31 -1272.33
0.021 -1007.65 -159.778
0.022 740.677 1212.45
0.023 1285.23 614.16
0.024 -259.021 -982.29
0.025 -1382.3 -982.285
0.026 -259.013 614.167
0.027 1285.23 1212.45
0.028 740.669 -159.786
0.029 -1007.66 -1272.33
0.03 -1118.3 -317.037
0.031 588.561 1153.52
0.032 1338.87 749.335
0.033 -86.795 -872.691
0.034 -1371.4 -1076.39
0.035 -427.161 469.295
0.036 1211.31 1252.27
0.037 881.122 0.0137687
0.038 -881.099 -1252.26
0.039 -1211.33 -469.321
0.04 427.133 1076.38
0.041 1371.4 872.711
0.042 86.8249 -749.313
0.043 -1338.87 -1153.53
0.044 -588.588 317.008
0.045 1118.28 1272.33
0.046 1007.68 159.821
0.047 -740.635 -1212.44
0.048 -1285.25 -614.203
0.049 258.966 982.254
0.0001 10000
0 1382.3 1377.9
0.0001 1369.12 1351.62
0.0002 1329.81 1299.55
0.0003 1265.14 1222.68
0.0004 1176.33 1122.49
0.0005 1065.08 1000.89
0.0006 933.513 860.195
0.0007 784.136 703.088
0.0008 619.8 532.569
0.0009 443.641 351.889
0.001 259.017 164.498
0.0011 69.453 -26.0335
0.0012 -121.436 -216.067
0.0013 -310.009 -401.979
0.0014 -492.668 -580.222
0.0015 -665.928 -747.396
0.0016 -826.484 -900.312
0.0017 -971.273 -1036.05
0.0018 -1097.53 -1152.03
0.0019 -1202.86 -1246.03
0.002 -1285.23 -1316.26
0.0021 -1343.09 -1361.37
0.0022 -1375.32 -1380.52
0.0023 -1381.32 -1373.33
0.0024 -1360.96 -1339.94
0.0025 -1314.65 -1280.99
0.0026 -1243.25 -1197.6
0.0027 -1148.13 -1091.36
0.0028 -1031.12 -964.307
0.0029 -894.426 -818.855
0.003 -740.674 -657.781
0.0031 -572.792 -484.158
0.0032 -393.982 -301.3
0.0033 -207.657 -112.692
0.0034 -17.3695 78.0636
0.0035 173.249 267.332
0.0036 360.562 451.499
0.0037 540.997 627.053
0.0038 711.111 790.645
0.0039 867.659 939.154
0.004 1007.65 1069.74
0.0041 1128.43 1179.93
0.0042 1227.67 1267.6
0.0043 1303.5 1331.09
0.0044 1354.45 1369.19
0.0045 1379.57 1381.17
0.0046 1378.37 1366.8
0.0047 1350.88 1326.36
0.0048 1297.61 1260.61
0.0049 1219.59 1170.81
1e-05 100000
0 1382.3 1382.26
1e-05 1382.17 1381.99
2e-05 1381.77 1381.46
3e-05 1381.11 1380.67
4e-05 1380.19 1379.62
5e-05 1379 1378.3
6e-05 1377.55 1376.71
7e-05 1375.83 1374.87
8e-05 1373.86 1372.76
9e-05 1371.62 1370.39
0.0001 1369.12 1367.76
0.00011 1366.35 1364.86
0.00012 1363.33 1361.71
0.00013 1360.04 1358.29
0.00014 1356.5 1354.62
0.00015 1352.69 1350.68
0.00016 1348.63 1346.49
0.00017 1344.31 1342.04
0.00018 1339.73 1337.34
0.00019 1334.9 1332.38
0.0002 1329.81 1327.16
0.00021 1324.47 1321.69
0.00022 1318.87 1315.97
0.00023 1313.03 1310
0.00024 1306.93 1303.77
0.00025 1300.58 1297.3
0.00026 1293.98 1290.58
0.00027 1287.14 1283.62
0.00028 1280.05 1276.4
0.00029 1272.72 1268.95
0.0003 1265.14 1261.25
0.00031 1257.32 1253.31
0.00032 1249.26 1245.13
0.00033 1240.96 1236.71
0.00034 1232.43 1228.06
0.00035 1223.66 1219.17
0.00036 1214.65 1210.05
0.00037 1205.41 1200.7
0.00038 1195.95 1191.12
0.00039 1186.25 1181.31
0.0004 1176.33 1171.27
0.00041 1166.18 1161.02
0.00042 1155.81 1150.53
0.00043 1145.22 1139.84
0.00044 1134.41 1128.92
0.00045 1123.39 1117.78
0.00046 1112.15 1106.44
0.00047 1100.69 1094.88
0.00048 1089.03 1083.11
0.00049 1077.16 1071.14
1e-06 1e+06
0 1382.3 1382.3
1e-06 1382.3 1382.3
2e-06 1382.3 1382.29
3e-06 1382.29 1382.28
4e-06 1382.28 1382.27
5e-06 1382.27 1382.26
6e-06 1382.25 1382.24
7e-06 1382.24 1382.23
8e-06 1382.22 1382.21
9e-06 1382.19 1382.18
1e-05 1382.17 1382.16
1.1e-05 1382.14 1382.13
1.2e-05 1382.11 1382.09
1.3e-05 1382.08 1382.06
1.4e-05 1382.04 1382.03
1.5e-05 1382 1381.98
1.6e-05 1381.96 1381.94
1.7e-05 1381.92 1381.9
1.8e-05 1381.87 1381.85
1.9e-05 1381.82 1381.8
