Time,Position_N,Position_E,Position_D,Flight path angle,Heading angle,Total angle of attack,Bank angle,Ground speed,Lateral acceleration (command),Lateral acceleration (response),Bank angle (command),Bank angle (response),Drag force,Thrust force,Gravitational acceleration,Yaw,Pitch,Roll,Elevation,Azimuth
0,0,0,-1900,0,2,0,0,250,2.549290532,0,-2.870025783,0,95310.78504,294359.375,9.813745692,2,0,0,10.76437137,-2
0.01,2.499137988,0.087271822,-1899.999509,-0.022467204,1.999999997,0.011392916,-0.013669696,250.1320683,2.549290532,0.002001363,-2.863572051,-0.013669696,95411.51663,292512.7173,9.813745694,1.999997278,-0.011074288,-0.013669695,10.75546437,-2.003017517
0.02,4.999589193,0.174589501,-1899.998039,-0.044816559,1.999999919,0.044678877,-0.052123157,250.2628819,2.549290532,0.007856831,-2.857153643,-0.052123157,95511.35308,290680.6389,9.813745698,1.999959274,-0.000137701,-0.052123141,10.76772567,-2.010860465
0.03,7.50134075,0.261952579,-1899.995597,-0.06694809,1.999999433,0.098546106,-0.111704457,250.3924507,2.549290532,0.017347398,-2.850798471,-0.111704457,95610.30042,288863.042,9.813745706,1.999807306,0.031597829,-0.111704398,10.80005828,-2.022805882
0.04,10.0043799,0.349360578,-1899.992192,-0.08876811,1.999997752,0.171725005,-0.189038874,250.5207841,2.549290532,0.030260327,-2.844531681,-0.189038874,95708.36436,287059.8356,9.813745716,1.999431172,0.08295596,-0.189038845,10.85138962,-2.038190962
0.05,12.50869402,0.436812977,-1899.987839,-0.110189007,1.999993535,0.262987745,-0.281027843,250.6478913,2.549290532,0.046389144,-2.838375604,-0.281027843,95805.55029,285270.9365,9.81374573,1.998703621,0.152795575,-0.281028323,10.9206734,-2.056411385
0.06,15.01427056,0.524309187,-1899.982557,-0.13112903,1.999984833,0.371147823,-0.384841987,250.7737809,2.549290532,0.065533618,-2.832349807,-0.384841987,95901.86324,283496.2695,9.813745746,1.997491936,0.240010421,-0.384844356,11.00689084,-2.07691925
0.07,17.52109714,0.611848523,-1899.976368,-0.151512085,1.999969092,0.495059574,-0.497912507,250.8984612,2.549290532,0.087499727,-2.826471197,-0.497912507,95997.3079,281735.7675,9.813745765,1.995666949,0.343528796,-0.497919716,11.10905153,-2.099220708
0.08,20.02916145,0.699430182,-1899.969297,-0.171267523,1.999943192,0.633617649,-0.617921247,251.0219398,2.549290532,0.112099629,-2.820754183,-0.617921247,96091.88863,279989.3716,9.813745787,1.993109827,0.462313278,-0.617938603,11.22619382,-2.122873362
0.09,22.53845133,0.787053214,-1899.961371,-0.190329945,1.99990351,0.785756465,-0.742789704,251.1442241,2.549290532,0.139151613,-2.815210878,-0.742789704,96185.60944,278257.0309,9.813745811,1.989716918,0.59536049,-0.74282571,11.35738505,-2.147483483
0.1,25.04895472,0.874716505,-1899.952622,-0.208639,1.999846001,0.950449619,-0.870667209,251.265321,2.549290532,0.168480049,-2.809851308,-0.870667209,96278.47402,276538.7022,9.813745838,1.985402968,0.741700879,-0.870734398,11.50172146,-2.172703118
0.11,27.56065967,0.962418757,-1899.943083,-0.22613919,1.999766299,1.126709276,-0.99991851,251.3852372,2.549290532,0.19991533,-2.804683643,-0.99991851,96370.48578,274834.3493,9.813745868,1.980102952,0.900398501,-1.000034214,11.658328,-2.198227121
0.12,30.07355437,1.050158482,-1899.93279,-0.242779677,1.999659807,1.313585535,-1.129110956,251.5039787,2.549290532,0.233293809,-2.799714427,-1.129110956,96461.64783,273143.9426,9.813745899,1.973772789,1.070550778,-1.129297966,11.82635802,-2.223790165
0.13,32.58762708,1.137933984,-1899.921782,-0.258514091,1.999521805,1.510165769,-1.257001448,251.6215514,2.549290532,0.268457728,-2.794948802,-1.257001448,96551.96305,271467.4586,9.813745933,1.966389149,1.251288222,-1.257288517,12.00499289,-2.249163761
0.14,35.10286619,1.225743364,-1899.910098,-0.273300344,1.99934754,1.715573943,-1.382523313,251.737961,2.549290532,0.305255141,-2.79039072,-1.382523313,96641.4341,269804.8788,9.813745969,1.957948546,1.44177411,-1.382945493,12.19344156,-2.274153324
0.15,37.61926019,1.313584516,-1899.89778,-0.28710045,1.999132321,1.928969917,-1.504773241,251.8532127,2.549290532,0.343539839,-2.786043143,-1.504773241,96730.06344,268156.1895,9.813746007,1.948465908,1.641204105,-1.505372026,12.39094015,-2.298595308
0.16,40.13679767,1.40145513,-1899.884873,-0.299880336,1.998871597,2.14954873,-1.622998391,251.9673117,2.549290532,0.383171258,-2.78190823,-1.622998391,96817.85337,266521.3809,9.813746047,1.93797276,1.848805817,-1.623821675,12.59675144,-2.32235443
0.17,42.65546731,1.489352704,-1899.87142,-0.311609674,1.998561032,2.376539871,-1.736583774,252.0802629,2.549290532,0.424014396,-2.777987497,-1.736583774,96904.80606,264900.4461,9.813746088,1.92651516,2.063838306,-1.737685627,12.81016449,-2.345321008
0.18,45.17525788,1.577274549,-1899.857469,-0.322261704,1.998196561,2.609206534,-1.845039994,252.1920712,2.549290532,0.465939718,-2.774281969,-1.845039994,96990.92358,263293.3807,9.813746131,1.914151495,2.285591524,-1.846480265,13.03049419,-2.367408421
0.19,47.69615826,1.665217805,-1899.843067,-0.331813066,1.997774449,2.846844868,-1.947991416,252.3027411,2.549290532,0.50882306,-2.770792301,-1.947991416,97076.20791,261700.182,9.813746176,1.900950226,2.513385714,-1.949835195,13.25708081,-2.388550695
0.2,50.21815738,1.753179455,-1899.828263,-0.340243635,1.997291323,3.08878321,-2.045164805,252.4122774,2.549290532,0.552545529,-2.767518893,-2.045164805,97160.66101,260120.8484,9.813746221,1.886987657,2.746570764,-2.047481761,13.48928965,-2.408700241
0.21,52.74124427,1.841156342,-1899.813105,-0.347536362,1.996744205,3.334381317,-2.136378511,252.5206846,2.549290532,0.596993401,-2.764461973,-2.136378511,97244.28479,258555.3785,9.813746268,1.872345796,2.984525517,-2.139242135,13.72651061,-2.427825723
0.22,55.26540802,1.929145186,-1899.797645,-0.353677119,1.996130529,3.58302959,-2.221532191,252.6279673,2.549290532,0.642058019,-2.761621679,-2.221532191,97327.08119,257003.7709,9.813746316,1.857110328,3.226657066,-2.225018972,13.96815787,-2.445910077
0.23,57.79063782,2.017142602,-1899.781934,-0.358654549,1.995448154,3.834148295,-2.300597131,252.7341301,2.549290532,0.687635681,-2.758998112,-2.300597131,97409.05215,255466.0231,9.813746364,1.841368768,3.472400015,-2.30478569,14.21366944,-2.462948679
0.24,60.31692289,2.105145118,-1899.766022,-0.362459917,1.994695361,4.087186774,-2.373607155,252.8391777,2.549290532,0.733627537,-2.756591383,-2.373607155,97490.19968,253942.1315,9.813746413,1.825208782,3.72121574,-2.378577368,14.4625069,-2.478947643
0.25,62.84425255,2.193149195,-1899.749962,-0.365086973,1.99387085,4.341622668,-2.440650139,252.9431148,2.549290532,0.779939475,-2.754401644,-2.440650139,97570.52584,252432.0905,9.813746462,1.808716714,3.972591635,-2.446482274,14.71415496,-2.493922269
0.26,65.37261614,2.281151246,-1899.733805,-0.366531811,1.992973728,4.596961127,-2.501860138,253.0459462,2.549290532,0.826482011,-2.752429113,-2.501860138,97650.0328,250935.8923,9.813746512,1.791976311,4.226040359,-2.508634011,14.96812114,-2.507895617
0.27,67.9020031,2.369147648,-1899.717604,-0.366792739,1.99200349,4.852734028,-2.557410099,253.1476769,2.549290532,0.873170174,-2.750674082,-2.557410099,97728.72281,249453.5265,9.813746562,1.775067654,4.48109909,-2.565204294,15.2239354,-2.520897214
0.28,70.43240289,2.457134764,-1899.701411,-0.365870152,1.990959998,5.108499195,-2.607505176,253.2483119,2.549290532,0.919923395,-2.749136924,-2.607505176,97806.59825,247984.9795,9.813746612,1.758066282,4.737328786,-2.616396318,15.48114973,-2.532961882
0.29,72.96380503,2.545108959,-1899.685278,-0.363766408,1.989843454,5.363839617,-2.652376609,253.3478564,2.549290532,0.966665393,-2.747818091,-2.652376609,97883.66161,246530.2345,9.813746662,1.741042505,4.994313455,-2.66243872,15.73933781,-2.544128679
